ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,demand_risk,staff_needed,recommended_action
2025-12-31,6030944.098256621,132633.3038795423,432885.5018815317,6030944.09104006,6030944.105515165,-5754272.176455838,-5754272.176455838,-5754272.176455838,-5754272.176455838,-5754272.176455838,-5754272.176455838,0.0,0.0,0.0,276671.9218007829,Low,8.0,Normal operations
2026-01-31,6037703.508086053,-76152060.49084036,-75851993.68712543,6037703.484646284,6037703.532890067,-82041717.50868618,-82041717.50868618,-82041717.50868618,-82041717.50868618,-82041717.50868618,-82041717.50868618,0.0,0.0,0.0,0.0,Low,0.0,Normal operations
2026-02-28,6043808.781480379,-7005033.234610893,-6707840.892058051,6043808.734815974,6043808.828419604,-12894895.560405869,-12894895.560405869,-12894895.560405869,-12894895.560405869,-12894895.560405869,-12894895.560405869,0.0,0.0,0.0,0.0,Low,0.0,Normal operations
2026-03-31,6050568.191309813,15308691.032689286,15616779.777579479,6050568.114832572,6050568.2647678135,9413392.907638188,9413392.907638188,9413392.907638188,9413392.907638188,9413392.907638188,9413392.907638188,0.0,0.0,0.0,15463961.098948002,High,464.0,"Add extra biometric operators, extend working hours"
2026-04-30,6057109.555660876,16250458.643236447,16559320.323202077,6057109.442751661,6057109.664189558,10342578.417094136,10342578.417094136,10342578.417094136,10342578.417094136,10342578.417094136,10342578.417094136,0.0,0.0,0.0,16399687.972755011,High,492.0,"Add extra biometric operators, extend working hours"
2026-05-31,6063868.9654903095,-2005109.880757092,-1705319.1979801822,6063868.819096034,6063869.105771708,-7924126.981580237,-7924126.981580237,-7924126.981580237,-7924126.981580237,-7924126.981580237,-7924126.981580237,0.0,0.0,0.0,0.0,Low,0.0,Normal operations
2026-06-30,6070410.3298413735,6309425.885112233,6609982.964943766,6070410.140502614,6070410.498699244,385314.57725672727,385314.57725672727,385314.57725672727,385314.57725672727,385314.57725672727,385314.57725672727,0.0,0.0,0.0,6455724.9070981005,High,194.0,"Add extra biometric operators, extend working hours"
2026-07-31,6077169.739670807,100818494.89060688,101139198.30797228,6077169.509336726,6077169.955283614,94893952.58961108,94893952.58961108,94893952.58961108,94893952.58961108,94893952.58961108,94893952.58961108,0.0,0.0,0.0,100971122.3292819,High,3029.0,"Add extra biometric operators, extend working hours"
2026-08-31,6083929.14950024,465665.8449909714,759034.3866315682,6083928.873903826,6083929.409245241,-5467613.076627286,-5467613.076627286,-5467613.076627286,-5467613.076627286,-5467613.076627286,-5467613.076627286,0.0,0.0,0.0,616316.0728729535,Medium,18.0,"Maintain current staffing, monitor weekly"
2026-09-30,6090470.513851304,419458.6257397221,731570.5531566888,6090470.194614847,6090470.823088908,-5518851.14590582,-5518851.14590582,-5518851.14590582,-5518851.14590582,-5518851.14590582,-5518851.14590582,0.0,0.0,0.0,571619.3679454839,Medium,17.0,"Maintain current staffing, monitor weekly"
2026-10-31,6097229.923680737,301855.526665391,597825.3572747934,6097229.559692908,6097230.277006582,-5649139.211111268,-5649139.211111268,-5649139.211111268,-5649139.211111268,-5649139.211111268,-5649139.211111268,0.0,0.0,0.0,448090.71256946865,Medium,13.0,"Maintain current staffing, monitor weekly"
2026-11-30,6103771.288031801,386419.10862754565,686068.2238281755,6103770.871840281,6103771.703748589,-5567291.202860521,-5567291.202860521,-5567291.202860521,-5567291.202860521,-5567291.202860521,-5567291.202860521,0.0,0.0,0.0,536480.0851712795,Medium,16.0,"Maintain current staffing, monitor weekly"
